institute_id,institute_name,year,rank,GPHD,image_path,notes
IR-E-U-0092,"National Institute of Technology, Raipur",2025,86,7.31,"2025\086_National_Institute_of_Technology,_Raipur\scores.jpg",
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,2025,87,1.41,2025\087_Vel_Tech_Rangarajan_Dr._Sagunthala_R_&_D_Institute_of_Science_and_Technology\scores.jpg,
IR-E-C-24004,AU College of Engineering (A),2025,88,9.08,2025\088_AU_College_of_Engineering_(A)\scores.jpg,
IR-E-U-0373,Chitkara  University,2025,89,3.49,2025\089_Chitkara_University\scores.jpg,
IR-E-U-1257,COEP Technological University,2025,90,2.52,2025\090_COEP_Technological_University\scores.jpg,
IR-E-C-19754,SR University,2025,91,0.70,2025\091_SR_University\scores.jpg,
IR-E-U-0297,Defence Institute of Advanced Technology,2025,92,1.58,2025\092_Defence_Institute_of_Advanced_Technology\scores.jpg,
IR-E-U-0078,Panjab University,2025,93,3.36,2025\093_Panjab_University\scores.jpg,
IR-E-U-0017,Jawaharlal Nehru Technological University,2025,94,1.85,2025\094_Jawaharlal_Nehru_Technological_University\scores.jpg,
IR-E-C-30045,"C.V. Raman Global University, Odisha",2025,95,2.22,"2025\095_C.V._Raman_Global_University,_Odisha\scores.jpg",
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,2025,96,1.69,2025\096_Atal_Bihari_Vajpayee_Indian_Institute_of_Information_Technology_and_Management\scores.jpg,
IR-E-U-0189,National Institute of Technology Hamirpur,2025,97,4.33,2025\097_National_Institute_of_Technology_Hamirpur\scores.jpg,
IR-E-U-0147,Pandit Deendayal Energy University,2025,98,1.06,2025\098_Pandit_Deendayal_Energy_University\scores.jpg,
IR-E-U-0621,National Institute of Technology Puducherry,2025,99,3.09,2025\099_National_Institute_of_Technology_Puducherry\scores.jpg,
IR-E-C-36995,Sri Krishna College of Engineering and Technology,2025,100,0.89,2025\100_Sri_Krishna_College_of_Engineering_and_Technology\scores.jpg,
