institute_id,institute_name,year,ft_year1,pt_year1,total_year1,ft_year2,pt_year2,total_year2,ft_year3,pt_year3,total_year3,Nphd
IR-E-U-0334,Visvesvaraya National Institute of Technology Nagpur,2024,75,12,87,45,4,49,45,4,49,61.6667
IR-E-U-0055,National Institute of Technology Silchar,2024,79,11,90,47,8,55,52,16,68,71
IR-E-U-0308,Institute of Chemical Technology,2024,53,5,58,45,3,48,111,9,120,75.3333
IR-E-U-0564,UPES,2024,1,19,20,2,17,19,5,33,38,25.6667
IR-E-U-0410,Malaviya National Institute of Technology,2024,56,21,77,65,32,97,59,31,90,88
IR-E-U-0577,National Institute of Technology Durgapur,2024,57,8,65,96,0,96,72,0,72,77.6667
IR-E-U-0622,National Institute of Technology Delhi,2024,18,0,18,18,4,22,6,1,7,15.6667
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,2024,38,36,74,62,26,88,32,36,68,76.6667
IR-E-U-0014,International Institute of Information Technology Hyderabad,2024,17,8,25,10,0,10,14,0,14,16.3333
IR-E-U-0202,Birla Institute of Technology,2024,29,3,32,42,9,51,27,24,51,44.6667
IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",2024,69,0,69,93,0,93,116,0,116,92.6667
IR-E-U-0379,Lovely Professional University,2024,50,58,108,18,76,94,14,39,53,85
IR-E-U-0255,Indian Institute of Space Science and Technology,2024,27,5,32,21,7,28,12,1,13,24.3333
IR-E-U-0555,Graphic Era University,2024,5,7,12,27,0,27,16,38,54,31
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,2024,15,40,55,12,24,36,3,10,13,34.6667
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,2024,40,0,40,55,0,55,35,0,35,43.3333
IR-E-U-0072,National Institute of Technology Patna,2024,58,45,103,50,18,68,31,4,35,68.6667
IR-E-C-7252,Manipal Institute of Technology,2024,39,0,39,25,0,25,19,2,21,28.3333
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),2024,22,0,22,103,0,103,22,0,22,49
IR-E-U-0374,Dr. B R Ambedkar National Institute of Technology Jalandhar,2024,33,10,43,47,0,47,48,0,48,46
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,2024,55,42,97,39,0,39,43,0,43,59.6667
IR-E-U-0530,Motilal Nehru National Institute of Technology,2024,35,14,49,51,17,68,84,15,99,72
IR-E-U-0844,Indian Institute of Technology Tirupati,2024,3,0,3,4,0,4,1,0,1,2.6667
IR-E-U-0906,Indian Institute of Technology Jammu,2024,17,0,17,2,0,2,1,0,1,6.6667
IR-E-U-0297,Defence Institute of Advanced Technology,2024,11,11,22,7,7,14,18,22,40,25.3333
IR-E-U-0878,Indian Institute of Technology Palakkad,2024,13,0,13,1,0,1,1,0,1,5
IR-E-U-0749,"Manipal University, Jaipur",2024,5,23,28,6,12,18,5,17,22,22.6667
IR-E-U-0474,Sathyabama Institute of Science and Technology,2024,65,44,109,27,82,109,25,105,130,116
IR-E-C-37013,PSG College of Technology,2024,14,42,56,18,43,61,20,41,61,59.3333
IR-E-U-0619,National Institute of Technology Meghalaya,2024,27,2,29,13,2,15,13,5,18,20.6667
IR-E-U-0249,Visvesvaraya Technological University,2024,26,164,190,5,69,74,10,81,91,118.3333
IR-E-U-0042,University of Hyderabad,2024,19,0,19,78,0,78,14,1,15,37.3333
IR-E-U-0092,National Institute of Technology Raipur,2024,59,26,85,59,21,80,46,29,75,80
IR-E-U-0284,Maulana Azad National Institute of Technology,2024,57,8,65,19,31,50,20,58,78,64.3333
IR-E-U-0946,Indian Institute of Technology Bhilai,2024,1,1,2,6,0,6,2,0,2,3.3333
IR-E-U-0221,International Institute of Information Technology Bangalore,2024,9,2,11,7,3,10,2,3,5,8.6667
IR-E-C-1331,M. S. Ramaiah Institute of Technology,2024,11,36,47,8,31,39,9,30,39,41.6667
IR-E-U-0384,Sant Longowal Institute of Engineering and Technology,2024,23,10,33,12,10,22,13,13,26,27
IR-E-C-41593,COEP Technological University,2024,16,18,34,10,27,37,10,23,33,34.6667
IR-E-U-0389,Banasthali Vidyapith,2024,49,0,49,58,0,58,59,0,59,55.3333
IR-E-U-0197,National Institute of Technology Srinagar,2024,59,2,61,43,7,50,45,4,49,53.3333
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,2024,11,0,11,19,0,19,15,0,15,15
IR-E-U-0172,National Institute of Technology Kurukshetra,2024,34,11,45,23,24,47,28,30,58,50
IR-E-U-0493,National Institute of Technology Agartala,2024,34,11,45,38,14,52,26,17,43,46.6667
IR-E-C-36995,Sri Krishna College of Engineering and Technology,2024,2,13,15,2,8,10,4,35,39,21.3333
IR-E-U-0739,Madan Mohan Malaviya University of Technology,2024,32,0,32,12,15,27,19,6,25,28
